0	0-0 1-1 2-3 3-2 4-7 5-5 6-6 7-4 8-4 
1	0-4 1-0 1-1 2-2 3-2 4-3 5-7 6-8 7-9 8-6 9-5 10-11 11-12 12-10 13-15 14-16 15-13 16-14 17-17 18-17 19-26 20-26 21-20 22-21 23-22 24-23 25-23 26-24 26-25 27-18 28-19 29-28 29-29 30-27 31-27 32-30 33-30 34-30 35-31 35-32 36-33 37-34 38-35 
2	0-0 1-0 2-2 3-1 4-4 5-5 6-3 7-3 8-6 9-7 10-8 11-10 12-9 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-16 21-17 22-20 23-21 24-22 25-22 26-18 27-18 28-19 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 7-8 7-9 8-13 8-14 9-15 9-16 10-10 10-11 11-12 12-17 
4	0-0 0-1 1-2 1-3 2-13 2-14 2-15 2-16 3-9 3-10 4-11 4-12 5-17 5-18 5-19 5-20 5-21 6-7 6-8 7-4 7-5 7-6 
5	0-9 1-10 1-11 2-0 3-1 3-2 4-6 4-7 4-8 5-3 6-4 6-5 7-20 8-21 9-22 9-23 9-24 10-13 10-14 11-12 12-15 12-16 13-17 13-18 13-19 14-31 15-32 15-33 16-28 16-29 16-30 17-25 17-26 18-27 19-34 19-35 20-36 20-37 21-38 
6	0-0 0-1 1-2 2-3 3-5 4-4 5-7 6-6 7-8 8-9 9-9 10-12 11-13 12-10 12-11 13-14 14-15 15-16 16-16 17-17 18-17 19-18 20-19 21-20 22-22 22-23 23-24 24-24 25-21 26-21 27-25 
7	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 6-8 7-9 8-9 9-10 10-11 10-12 11-13 12-13 13-14 13-15 14-18 14-19 15-16 16-17 17-24 18-25 18-26 19-20 20-21 21-22 21-23 22-30 22-31 23-32 24-33 24-34 25-35 26-27 26-28 27-29 28-36 29-36 30-37 30-38 31-39 32-40 33-42 34-41 35-43 
8	0-0 1-1 2-2 2-3 2-4 3-5 3-6 4-7 5-8 6-9 7-10 7-11 7-12 8-14 8-15 9-13 10-16 10-17 11-18 12-23 12-24 12-25 13-19 14-20 15-21 15-22 16-33 16-34 16-35 17-28 17-29 18-26 18-27 19-30 19-31 20-32 21-36 22-37 22-38 22-39 23-40 24-41 25-42 26-43 26-44 27-49 27-50 27-51 28-45 28-46 29-47 30-48 31-65 31-66 32-64 33-67 34-61 34-62 34-63 35-52 35-53 35-54 36-57 36-58 37-59 38-60 39-55 39-56 40-71 40-72 41-73 42-68 42-69 42-70 43-74 
9	0-0 1-1 2-4 3-4 4-2 4-3 5-5 6-6 7-7 8-7 9-8 10-8 11-9 12-10 13-11 14-12 
10	0-0 1-0 2-1 3-1 4-2 4-3 5-4 6-5 7-5 8-6 9-7 10-8 11-8 12-9 13-10 13-11 14-12 15-12 16-13 17-14 18-15 19-17 20-18 21-16 22-23 23-24 24-19 25-20 26-21 27-22 28-22 29-28 30-28 31-25 32-26 33-27 34-29 34-30 35-31 36-31 37-32 38-33 39-34 40-35 41-36 42-36 43-37 44-38 45-39 46-40 46-41 47-47 48-48 49-42 50-43 51-44 52-45 53-45 54-46 55-57 56-55 57-56 58-49 59-50 60-51 61-52 62-53 63-54 64-54 65-64 66-64 67-59 68-58 69-63 70-62 71-61 72-60 73-65 
11	0-0 1-1 2-2 2-3 3-5 3-6 4-4 5-4 6-7 6-8 7-9 8-10 8-11 9-12 10-13 11-14 12-15 13-16 14-31 15-30 16-28 16-29 17-26 18-27 19-33 20-32 21-36 22-36 23-34 23-35 24-43 25-37 25-38 26-39 27-40 28-40 29-41 29-42 30-19 31-20 32-17 32-18 33-23 34-24 35-25 36-21 36-22 37-62 37-63 38-59 39-59 40-60 40-61 41-54 41-55 42-56 43-57 44-52 44-53 45-58 46-44 46-45 47-46 48-47 49-48 50-49 50-50 51-51 52-51 53-64 54-65 54-66 55-67 56-68 57-69 58-70 59-71 60-72 61-73 62-74 
12	0-2 1-3 2-4 3-5 4-5 5-0 5-1 6-6 6-7 7-8 8-8 9-9 10-11 10-12 11-13 12-13 13-10 14-16 14-17 15-18 16-19 17-19 18-14 19-15 20-23 21-24 22-20 23-21 24-22 25-25 26-25 27-33 28-32 29-32 30-34 31-35 32-36 33-37 34-38 35-29 36-30 37-28 38-26 39-27 40-31 41-45 42-46 43-47 44-48 45-42 46-43 47-41 48-40 49-44 50-44 51-39 52-53 53-54 54-51 55-50 56-49 57-52 58-55 59-56 60-57 61-58 62-58 63-59 64-60 65-61 66-62 67-63 68-65 69-64 70-66 71-67 72-68 73-69 74-70 75-71 
13	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-11 8-12 9-14 9-15 10-13 11-13 12-7 13-8 14-9 15-10 16-17 17-18 18-19 19-20 20-16 21-21 22-22 23-23 24-24 25-25 26-26 
14	0-0 1-0 2-2 3-3 4-1 5-4 6-5 7-7 7-8 8-6 9-6 10-9 11-9 12-10 13-12 14-12 15-11 16-14 17-13 18-15 19-15 20-16 20-17 21-18 22-19 23-20 24-20 25-21 26-22 27-23 28-24 29-25 30-26 31-27 32-28 33-29 34-30 35-30 36-32 37-31 38-33 39-34 40-35 41-36 42-36 43-37 43-38 44-39 45-39 46-40 47-40 48-41 49-42 50-43 51-45 52-44 53-46 54-47 55-47 56-48 57-49 58-50 
15	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8 8-8 9-9 10-10 11-11 12-12 12-13 13-15 14-14 15-16 16-17 16-18 17-21 18-22 19-19 20-20 21-23 21-24 22-25 23-26 24-27 25-28 
16	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-6 7-16 8-17 9-18 10-19 11-20 12-21 13-10 14-11 15-9 16-12 17-7 17-8 18-13 18-14 19-15 20-15 21-35 22-30 23-32 24-31 25-34 26-33 27-28 28-29 29-27 30-36 31-36 32-37 33-23 34-23 35-24 35-25 36-22 37-26 38-45 39-45 40-46 40-47 41-48 42-50 42-51 43-49 44-49 45-52 46-41 47-40 48-38 49-39 50-43 51-42 52-44 53-44 54-54 55-53 56-55 57-58 57-59 58-60 59-60 60-61 61-62 62-63 63-63 64-66 65-67 66-65 67-64 68-56 69-57 70-74 71-75 72-72 73-73 74-70 75-71 76-69 77-69 78-68 79-76 80-77 81-78 
17	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-6 7-7 8-8 9-8 10-9 11-10 12-11 13-12 13-13 14-16 15-14 16-15 17-17 17-18 18-20 19-21 20-19 21-22 22-23 23-26 24-27 25-28 26-29 27-30 28-24 28-25 29-32 30-33 31-31 32-35 33-35 34-36 34-37 35-34 36-34 37-38 38-39 39-40 40-41 41-42 42-43 43-45 44-44 45-46 
18	0-0 1-0 2-3 2-4 3-5 4-5 5-2 6-1 7-6 8-6 9-6 10-7 10-8 11-10 12-9 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 22-19 23-20 24-20 25-21 26-22 26-23 27-24 28-24 29-25 30-26 31-26 32-27 33-28 34-29 34-30 35-35 36-36 37-36 38-37 39-37 40-38 41-39 41-40 42-31 43-32 44-33 45-33 46-34 
