0	0-0 1-1 7-2 
1	0-6 0-7 1-5 3-0 14-8 15-9 17-11 17-12 21-15 22-15 24-17 25-18 26-19 29-21 30-22 31-23 32-26 33-24 36-28 37-29 38-30 39-31 40-33 42-34 43-34 44-35 45-36 46-37 47-40 
2	0-0 0-1 1-2 5-4 6-5 7-6 8-10 10-8 14-11 16-13 17-14 18-15 
3	0-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 
4	0-0 1-0 2-0 3-1 4-3 6-5 8-7 8-8 9-9 10-10 11-11 12-12 13-13 18-18 19-19 20-20 21-22 22-21 24-23 26-24 27-25 
5	0-0 1-0 3-1 4-3 5-4 6-6 7-7 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 22-21 25-23 28-25 
6	0-0 2-2 3-3 4-4 4-5 5-6 11-7 17-13 18-14 20-14 21-15 
7	0-0 0-1 0-2 1-3 2-4 3-4 10-9 11-10 12-5 13-6 14-7 15-8 16-17 17-17 18-16 19-16 20-14 20-15 21-18 22-19 23-20 24-21 25-22 26-23 27-23 28-24 28-25 29-26 30-27 31-28 32-29 32-31 33-33 36-35 37-36 38-37 39-38 41-40 44-42 45-43 46-44 
8	0-0 1-1 2-2 3-3 4-4 4-5 9-12 10-13 11-14 12-16 13-15 14-18 17-22 18-23 19-24 20-25 23-26 24-27 25-28 26-29 26-30 27-32 30-34 31-35 35-38 36-40 37-41 38-42 39-43 41-45 43-50 48-53 49-54 
9	0-0 1-1 3-2 5-4 5-5 6-6 7-7 8-8 9-9 11-10 12-16 15-13 16-14 17-15 19-11 20-12 21-20 
10	0-0 1-0 2-1 4-3 5-3 6-3 7-2 9-5 10-6 11-6 12-7 13-8 14-9 14-10 15-11 17-12 18-15 19-16 20-17 21-18 22-19 23-20 25-25 28-26 36-34 37-30 38-29 40-38 42-40 43-41 44-43 45-43 46-44 47-45 48-46 49-49 54-51 55-52 56-53 57-54 58-55 
11	0-0 1-1 2-3 2-4 5-5 6-6 6-7 7-8 8-9 9-10 10-11 12-13 13-14 14-15 15-16 15-17 16-18 17-19 19-21 21-22 23-27 25-28 29-29 29-30 30-31 
12	0-0 1-1 3-2 4-3 5-5 6-4 8-6 12-10 13-11 14-12 15-13 16-14 17-15 21-18 22-19 23-20 24-21 25-22 25-23 29-25 30-26 31-27 32-28 
