0	0-0 0-1 1-2 3-4 7-4 8-5 8-7 
1	0-4 1-5 2-2 3-0 4-6 5-7 6-8 7-9 8-10 9-11 10-11 12-16 13-15 16-14 17-17 18-18 20-19 22-21 22-22 23-24 23-25 24-23 25-23 27-26 28-27 29-28 32-30 33-30 34-30 35-31 35-32 38-35 
2	0-0 1-0 2-1 3-1 4-1 5-2 6-3 7-4 8-5 8-6 9-7 10-7 11-8 12-9 13-11 15-12 16-13 17-14 18-15 19-16 20-16 21-17 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 11-16 12-17 
4	0-0 1-1 4-16 5-6 6-5 7-21 
5	0-0 3-10 5-4 8-21 14-31 15-32 16-33 18-35 19-35 20-36 20-37 21-38 
6	0-0 0-1 1-2 7-8 8-9 9-10 10-11 10-12 13-14 14-15 15-16 16-17 18-18 19-18 20-19 21-20 24-24 25-21 26-22 27-25 
7	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 7-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 19-21 20-22 20-23 20-24 20-25 22-31 23-32 24-33 24-34 27-29 28-36 30-38 31-39 32-40 32-41 33-42 34-42 35-43 
8	0-0 3-5 4-6 5-8 7-7 9-11 10-12 11-14 12-15 13-19 16-17 18-24 20-32 23-39 27-44 28-45 29-46 29-47 33-51 34-52 36-54 36-55 37-57 37-58 37-59 39-69 39-70 40-71 40-72 42-73 43-74 
9	0-0 1-3 2-4 5-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 
10	0-0 1-0 2-0 3-1 4-2 4-3 5-4 6-5 7-5 8-6 10-8 11-8 12-9 13-10 13-11 15-12 16-13 17-14 18-15 19-17 21-16 22-23 24-19 25-20 26-21 27-22 29-24 30-25 31-28 32-26 34-40 35-41 37-32 38-31 40-35 41-36 42-36 43-37 44-38 45-39 50-43 51-44 52-44 53-45 54-46 56-49 57-49 60-51 61-52 62-53 63-54 64-55 65-56 66-58 67-59 68-62 69-63 71-61 73-65 
11	0-0 2-2 4-4 6-6 7-9 8-10 9-11 9-12 10-13 11-14 12-15 14-23 15-24 16-25 17-26 18-27 19-32 20-32 21-33 23-34 23-35 25-36 25-37 26-38 27-40 28-39 30-41 31-42 32-43 33-44 34-44 36-46 37-47 39-50 40-51 41-55 42-53 44-57 45-58 46-59 47-62 48-61 50-61 51-60 53-64 54-65 55-66 56-68 57-69 58-70 59-71 60-72 61-73 62-74 
12	0-0 0-1 0-2 1-3 2-4 3-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 11-13 12-14 13-16 14-17 15-15 16-18 16-19 17-20 18-21 19-22 20-23 21-24 22-25 23-26 23-27 24-28 25-29 26-30 27-31 28-32 29-33 30-34 31-35 32-36 33-37 34-38 35-39 36-40 38-41 39-43 41-44 41-45 42-46 43-47 44-48 51-52 52-53 53-54 54-55 55-55 56-56 58-57 59-57 60-58 61-59 62-60 63-60 64-60 65-61 66-62 67-63 68-65 69-64 70-66 71-67 72-68 74-70 75-71 
