0	0-0 0-1 1-3 2-2 3-4 4-4 5-5 5-6 6-7 
1	0-5 0-6 1-7 2-8 3-9 4-10 4-11 5-2 6-3 7-4 8-0 8-1 9-15 9-16 10-12 10-13 11-14 12-17 13-18 14-18 15-19 16-20 16-21 17-24 18-25 19-23 20-22 21-26 22-27 23-28 24-29 
2	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-7 8-8 9-6 10-9 11-10 12-11 13-11 14-12 15-12 16-13 17-14 18-15 
3	0-0 1-1 2-3 3-4 4-2 5-5 5-6 6-7 7-8 8-9 9-10 
4	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-12 15-13 16-13 17-14 18-15 19-16 20-17 21-18 
5	0-0 1-1 2-2 3-8 3-9 4-4 4-5 5-3 6-3 7-6 7-7 8-15 9-13 9-14 10-10 10-11 11-12 12-12 13-18 14-19 15-20 16-16 16-17 17-23 18-24 19-21 19-22 20-25 21-26 22-29 23-30 24-28 25-33 26-34 27-31 28-32 29-27 30-39 30-40 31-43 32-44 33-45 34-42 35-41 36-36 36-37 37-35 38-35 39-38 40-53 41-54 42-46 43-47 44-50 45-48 46-49 47-51 47-52 48-57 48-58 49-59 50-60 51-60 52-55 52-56 53-61 54-61 55-62 55-63 56-64 57-65 58-66 59-67 60-68 
6	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7 8-8 9-9 10-13 11-14 12-11 12-12 13-10 14-10 15-15 15-16 16-17 16-18 17-26 17-27 18-25 19-25 20-23 21-19 21-20 22-21 23-22 24-24 25-29 25-30 26-28 27-28 28-40 28-41 29-42 30-43 31-33 32-34 33-35 34-31 34-32 35-38 35-39 36-37 37-36 38-48 38-49 39-45 39-46 40-44 41-44 42-47 43-58 43-59 44-60 45-61 46-62 47-50 47-51 48-52 49-53 50-54 50-55 51-56 52-57 53-63 54-64 55-65 56-66 57-67 58-68 59-69 59-70 60-71 61-72 62-73 63-77 64-74 65-75 66-76 67-78 67-79 68-80 68-81 69-82 70-83 71-84 72-85 
7	0-0 1-1 2-4 3-3 4-2 5-5 6-7 6-8 7-6 8-6 9-10 10-9 11-12 12-11 13-14 14-13 15-15 16-16 17-17 18-19 19-20 20-18 21-21 22-21 23-22 24-23 25-24 26-24 27-25 28-25 29-26 29-27 30-28 31-34 32-35 33-36 34-29 35-29 36-30 37-31 38-32 39-33 40-41 41-42 42-44 43-45 44-43 45-37 46-38 47-39 48-40 49-56 49-57 50-55 51-55 52-49 53-47 54-48 55-51 56-50 57-52 58-53 59-54 60-54 61-46 62-58 63-59 64-60 65-61 
8	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 9-8 10-9 11-11 12-10 13-13 14-12 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-21 24-23 25-22 26-24 27-25 28-25 29-29 30-30 31-31 32-26 33-27 34-28 35-33 36-34 37-32 38-35 39-35 40-36 41-37 42-38 43-39 44-41 45-41 46-40 47-42 48-43 49-44 50-45 51-46 
9	0-0 1-1 2-2 3-4 3-5 4-3 5-3 6-9 7-8 8-6 9-7 10-10 11-11 12-14 13-15 14-16 15-17 16-18 17-19 18-12 18-13 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 28-30 29-31 30-31 31-32 32-33 32-34 33-35 34-36 35-37 36-38 37-38 38-39 39-40 40-41 41-43 42-44 43-45 44-42 45-46 46-47 47-47 48-47 49-48 49-49 50-50 50-51 51-52 
10	0-0 1-0 2-1 3-2 4-3 5-4 5-5 6-9 7-8 8-6 9-7 10-10 11-11 11-12 12-15 13-16 14-13 15-14 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-24 25-25 25-26 26-27 27-28 28-29 29-30 30-31 31-33 32-32 33-34 34-34 35-35 35-36 36-37 37-38 38-39 
