0	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 
1	0-5 0-6 1-7 2-8 3-9 3-10 4-11 5-2 6-3 7-4 8-0 8-1 9-15 10-16 11-12 11-13 11-14 12-17 13-18 14-18 15-19 16-20 17-21 18-22 19-23 20-24 20-25 21-26 22-27 23-28 24-29 
2	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-8 8-8 9-6 9-7 10-9 11-10 12-11 13-11 14-14 15-14 16-13 17-12 18-15 
3	0-0 1-1 2-3 3-2 4-4 5-5 5-6 6-7 7-8 8-9 9-10 
4	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-8 10-9 11-10 12-11 13-12 14-12 15-13 16-14 17-15 18-15 19-16 20-17 21-18 
5	0-0 1-1 2-2 3-9 4-7 4-8 5-6 6-5 7-3 7-4 8-12 9-13 10-14 11-15 12-10 12-11 13-18 14-19 15-20 16-16 16-17 17-23 18-24 19-21 19-22 20-25 21-26 22-31 23-30 24-32 25-33 26-34 27-29 28-29 29-27 29-28 30-41 31-42 32-40 33-39 34-43 34-44 35-45 36-37 37-37 38-35 38-36 39-38 40-53 41-54 42-46 43-47 44-49 45-48 46-50 47-51 47-52 48-57 48-58 49-59 50-60 51-60 52-55 52-56 53-63 54-63 55-61 55-62 56-64 57-65 58-66 59-67 60-68 
6	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7 8-8 9-9 10-13 11-14 12-12 13-12 14-10 14-11 15-15 15-16 16-17 16-18 17-27 18-27 19-25 19-26 20-19 21-20 22-21 23-22 23-23 24-24 25-30 26-30 27-28 27-29 28-41 29-40 30-42 30-43 31-33 32-34 33-35 34-31 34-32 35-36 36-37 37-38 37-39 38-48 39-49 40-44 41-45 42-46 42-47 43-58 44-59 45-60 45-61 46-62 47-50 47-51 48-52 49-53 50-54 51-55 52-56 52-57 53-63 54-64 55-65 56-66 57-67 58-68 59-69 59-70 60-71 61-72 62-73 63-76 64-77 65-75 66-74 67-78 67-79 68-80 68-81 69-82 70-83 71-84 72-85 
7	0-0 1-1 2-4 3-4 4-2 4-3 5-5 6-7 7-6 8-8 9-10 10-9 11-12 12-11 13-14 14-13 15-15 16-16 17-17 18-20 19-20 20-18 20-19 21-21 22-21 23-22 24-23 25-25 26-24 27-26 28-27 29-27 30-28 31-34 32-35 33-36 34-29 35-30 36-31 37-31 38-32 39-33 40-41 41-42 42-44 43-43 44-45 45-37 46-38 47-39 48-40 49-56 50-55 51-57 52-51 53-51 54-49 55-50 56-53 57-52 58-54 59-48 60-48 61-46 61-47 62-58 63-59 64-60 65-61 
8	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-7 9-8 10-9 11-11 12-10 13-13 14-12 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-21 24-23 25-22 26-24 27-25 28-26 29-29 30-30 31-31 32-31 33-27 34-28 35-34 36-34 37-32 37-33 38-35 39-35 40-36 41-37 42-38 43-39 44-41 45-41 46-40 47-42 48-43 49-44 50-45 51-46 
9	0-0 1-1 2-2 3-5 4-5 5-3 5-4 6-9 7-8 8-6 9-7 10-10 11-11 12-14 13-15 14-16 15-17 16-18 17-19 18-12 18-13 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30 30-31 31-32 32-34 33-33 34-35 34-36 35-37 36-38 37-38 38-39 39-40 40-41 41-42 41-43 42-44 43-45 44-45 45-46 46-48 47-47 48-49 49-49 50-50 50-51 51-52 
10	0-0 1-1 2-2 3-2 4-3 5-4 5-5 6-9 7-8 8-6 9-7 10-10 11-11 12-12 13-14 14-13 15-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-25 24-24 25-26 26-27 27-28 28-29 29-30 30-31 31-33 32-32 33-34 34-34 35-35 35-36 36-37 37-38 38-39 
11	0-0 1-0 2-1 3-2 4-3 5-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 11-12 12-19 13-20 14-13 14-14 15-15 16-17 17-16 18-18 
12	0-1 1-0 2-2 3-3 4-4 5-5 6-8 7-9 8-7 9-6 10-25 11-26 12-27 13-23 14-24 15-20 16-21 17-13 18-14 19-15 20-16 20-17 21-18 22-19 23-10 24-11 25-12 26-22 27-22 28-28 29-29 30-30 31-31 32-32 33-33 34-34 35-36 36-35 37-37 37-38 38-39 39-40 40-41 41-42 42-43 43-46 44-47 45-44 45-45 46-49 47-48 48-50 49-54 50-53 51-52 52-51 53-56 54-55 55-58 56-57 57-62 58-62 59-59 60-60 61-61 62-63 62-64 63-67 64-68 65-65 66-66 67-69 68-70 68-71 
13	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8 8-9 9-10 9-11 10-12 11-13 12-16 13-14 13-15 14-17 15-18 15-19 16-20 17-23 18-24 19-21 19-22 20-25 21-26 
14	0-1 1-0 2-2 3-3 4-4 5-5 6-6 7-7 8-9 9-8 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 17-18 18-20 19-20 20-19 21-21 21-22 22-23 23-24 24-27 25-25 25-26 26-28 27-28 28-29 29-30 30-31 30-32 31-33 32-34 33-35 34-36 35-37 36-38 
15	0-0 0-1 1-2 2-3 2-4 3-5 4-6 4-7 4-8 5-9 5-10 6-11 7-12 8-13 8-14 9-15 10-18 11-16 11-17 12-25 12-26 13-23 13-24 14-19 14-20 15-21 15-22 16-27 
16	0-0 1-1 2-2 2-3 3-7 4-6 5-4 5-5 6-8 7-9 8-10 9-11 9-12 10-13 10-14 11-15 12-16 13-17 14-18 15-19 15-20 16-21 
17	0-0 1-1 2-2 3-3 4-8 5-8 6-4 7-5 8-6 9-7 10-9 11-11 12-10 13-12 14-15 15-16 16-17 17-18 18-13 19-14 20-22 21-23 22-19 23-19 24-20 25-21 26-24 27-25 
18	0-0 1-1 2-2 2-3 3-6 4-6 5-4 5-5 6-8 7-7 8-9 9-10 9-11 10-12 11-13 12-18 13-18 14-16 14-17 15-19 15-20 16-14 16-15 17-24 17-25 18-26 19-23 20-21 20-22 21-29 22-30 23-27 23-28 24-31 24-32 25-33 26-34 27-35 28-35 29-38 30-36 30-37 31-39 31-40 32-41 33-42 34-43 35-44 36-45 37-46 38-47 39-48 40-49 41-50 42-51 43-52 44-53 44-54 45-55 46-58 47-59 48-56 48-57 49-60 50-63 51-63 52-61 52-62 53-64 53-65 54-66 55-67 56-68 57-69 57-70 58-71 59-72 60-73 61-74 62-75 63-76 63-77 64-78 65-79 
19	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-7 9-9 10-10 10-11 11-13 12-12 13-14 14-20 15-21 16-18 16-19 17-15 17-16 18-17 19-22 
20	0-1 1-1 2-0 3-0 4-2 5-2 6-3 7-4 7-5 8-6 9-6 10-7 11-8 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-14 20-15 21-15 22-16 23-17 24-18 25-19 26-21 27-20 28-22 29-23 30-24 31-24 32-25 
21	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 
22	0-0 1-1 2-2 3-3 4-5 5-4 6-6 7-9 8-9 9-7 9-8 10-10 11-12 12-11 13-14 14-13 15-15 16-16 17-17 18-18 19-23 20-24 21-19 22-20 23-21 24-22 25-22 26-26 27-25 28-27 29-31 30-32 31-28 32-29 33-30 34-35 35-35 36-35 37-33 38-34 39-36 39-37 40-38 41-39 42-40 43-41 44-42 45-43 
23	0-0 1-1 2-2 3-3 3-4 4-7 5-7 6-5 6-6 7-8 8-9 9-10 9-11 10-15 11-14 12-13 13-12 14-16 15-17 16-18 17-19 18-20 19-21 20-22 20-23 21-26 22-26 23-24 23-25 24-31 25-32 26-33 27-34 27-35 28-27 29-28 30-29 31-30 32-41 33-42 34-40 35-40 36-38 36-39 37-43 37-44 38-47 39-48 40-45 41-46 42-36 42-37 43-58 44-58 45-56 45-57 46-49 47-50 48-51 49-54 50-52 50-53 51-55 52-59 53-60 54-61 55-62 55-63 56-64 57-65 58-67 59-66 60-68 61-69 62-70 62-71 63-72 63-73 64-74 65-75 66-76 
24	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 11-11 12-13 13-12 14-14 15-16 16-15 17-17 18-18 19-20 20-19 21-21 22-22 23-23 24-24 
