0	0-0 1-1 2-2 2-3 3-4 4-4 5-5 5-6 6-7 
1	0-4 0-5 0-6 1-7 2-8 3-9 4-9 5-2 6-3 7-0 7-1 8-10 8-11 9-15 9-16 10-12 10-13 11-14 12-17 13-18 14-18 15-19 16-20 16-21 17-24 17-25 18-22 19-23 20-23 21-26 22-27 23-28 24-29 
2	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-8 9-7 10-9 11-10 12-11 13-11 14-13 15-12 16-12 17-14 18-15 
3	0-0 1-1 2-3 3-4 4-2 5-5 5-6 6-7 7-8 8-9 9-10 
4	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-12 15-13 16-13 17-14 18-15 19-16 20-17 21-18 
5	0-0 1-1 2-2 2-3 3-8 3-9 4-10 4-11 5-6 5-7 6-4 6-5 7-12 8-12 9-13 10-14 11-15 11-16 12-17 13-18 14-19 15-20 16-21 17-22 17-23 18-24 19-25 19-26 20-27 21-28 22-29 23-30 24-31 24-32 25-33 26-34 27-37 28-37 29-35 29-36 30-43 31-42 32-44 32-45 33-40 33-41 34-38 35-39 36-52 37-50 38-51 39-53 40-53 41-54 41-55 42-46 43-46 44-47 45-48 46-49 47-56 47-57 48-58 49-59 50-60 51-60 52-61 53-61 54-61 55-62 55-63 56-64 57-65 58-66 59-67 60-68 
6	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7 8-8 9-9 10-10 11-10 12-11 13-12 14-13 14-14 15-18 16-17 17-15 17-16 18-20 19-19 20-19 21-23 22-21 23-22 24-24 24-25 25-26 25-27 26-28 27-29 28-30 28-31 29-41 29-42 30-43 31-33 31-34 32-32 33-35 34-36 35-39 35-40 36-37 37-38 38-46 39-45 40-44 41-44 42-47 42-48 43-49 43-50 44-60 45-61 46-55 47-51 48-52 49-53 49-54 50-57 51-56 52-58 52-59 53-62 53-63 54-64 55-65 56-65 57-66 57-67 58-68 59-69 59-70 60-71 61-72 62-73 63-74 64-74 65-75 66-76 66-77 67-78 67-79 68-81 68-82 69-80 70-83 71-84 72-85 
7	0-0 1-1 2-4 3-3 4-2 5-5 6-7 7-6 8-8 9-10 10-9 11-12 12-11 13-14 14-13 15-15 16-16 17-17 18-19 19-20 20-18 21-21 22-21 23-22 24-23 25-24 26-24 27-25 28-25 29-26 29-27 30-28 31-34 32-35 33-36 34-29 35-29 36-30 37-31 38-32 39-33 40-41 41-42 42-44 43-45 44-43 45-37 46-38 47-39 48-40 49-40 50-46 51-46 52-46 53-47 53-48 54-49 54-50 55-51 55-52 56-53 57-53 58-56 59-54 60-55 61-57 62-58 63-59 64-60 65-61 
8	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 9-8 10-9 11-11 11-12 12-10 13-13 14-13 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-26 27-25 28-25 29-27 29-28 30-30 31-31 32-32 33-29 34-29 35-33 36-34 37-35 38-35 39-35 40-36 41-37 42-38 43-39 44-41 45-41 46-40 47-42 48-43 49-44 50-45 51-46 
9	0-0 1-1 2-2 3-3 4-3 5-3 6-4 6-5 7-6 8-6 9-7 9-8 10-10 11-9 12-11 13-14 13-15 14-16 15-17 16-18 17-19 18-12 18-13 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 28-30 29-31 30-31 31-32 32-33 32-34 33-35 34-36 35-37 36-38 37-39 38-39 39-40 39-41 40-42 41-43 42-44 43-45 44-45 45-46 46-47 47-47 48-47 49-48 49-49 50-50 50-51 51-52 
10	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-8 7-9 8-6 9-7 10-10 11-11 11-12 12-15 13-16 14-13 15-14 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-24 25-25 25-26 26-27 27-28 28-29 29-30 30-31 31-33 32-32 33-34 34-34 35-35 35-36 36-37 37-38 38-39 
11	0-0 1-0 2-1 3-2 4-3 5-4 5-5 6-6 7-6 8-8 9-7 10-9 10-10 11-11 11-12 12-19 13-20 14-13 14-14 15-15 16-15 17-16 17-17 18-18 
12	0-1 1-0 2-2 3-3 4-4 5-4 6-8 7-8 8-5 9-6 9-7 10-9 11-15 12-15 13-15 14-15 15-13 16-12 17-12 18-14 19-14 20-16 20-17 21-18 22-19 22-20 23-10 24-11 25-21 26-22 26-23 27-24 27-25 28-27 28-28 29-26 30-30 30-31 31-29 32-32 33-33 34-38 35-36 35-37 36-34 37-35 38-39 39-40 40-41 41-42 42-43 43-46 43-47 44-44 45-45 46-49 47-50 48-48 49-56 50-55 51-57 51-58 52-52 52-53 53-54 54-54 55-51 56-51 57-62 58-62 59-59 60-60 61-61 62-63 62-64 63-66 63-67 64-68 65-65 66-69 67-69 68-70 68-71 
13	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 9-11 10-12 11-13 12-15 12-16 13-14 14-17 15-18 16-19 16-20 17-23 18-24 19-21 19-22 20-25 21-26 
14	0-0 1-0 2-1 3-2 4-2 5-3 5-4 6-6 7-5 8-7 9-8 9-9 10-10 11-11 11-12 12-13 13-13 14-14 15-15 16-16 17-17 18-18 19-18 20-19 20-20 21-21 21-22 22-23 23-26 24-24 25-25 26-27 27-28 28-29 29-30 30-31 31-32 31-33 32-36 33-35 34-34 35-37 36-38 
15	0-0 0-1 1-2 2-3 2-4 3-5 4-6 4-7 4-8 5-9 5-10 6-11 7-12 8-13 8-14 9-16 10-15 11-17 11-18 12-24 12-25 12-26 13-21 13-22 13-23 14-19 15-20 16-27 
16	0-0 1-1 2-2 2-3 3-6 3-7 4-4 5-5 6-8 7-8 8-9 8-10 9-11 9-12 10-13 10-14 11-15 12-16 13-17 14-18 15-19 15-20 16-21 
17	0-0 1-1 2-2 3-3 4-8 5-8 6-4 7-5 8-6 9-7 10-9 11-18 12-18 13-18 14-14 14-15 15-16 16-17 17-10 17-11 18-12 19-13 20-22 21-23 22-20 23-19 24-19 25-21 26-24 27-25 
18	0-0 0-1 1-2 2-3 3-4 4-4 5-5 6-6 7-7 7-8 8-9 8-10 9-12 10-13 11-11 12-19 12-20 12-21 13-16 14-17 14-18 15-14 16-15 17-25 18-26 18-27 19-22 20-23 20-24 21-28 21-29 22-30 23-31 24-32 25-33 26-34 27-35 28-36 28-37 29-38 30-39 31-40 32-41 33-42 34-43 35-44 36-45 37-46 38-47 39-48 40-49 41-50 42-53 42-54 43-51 43-52 44-55 45-56 46-57 46-58 47-59 48-60 49-61 50-62 51-63 52-65 53-64 54-66 55-67 56-68 57-69 57-70 58-71 59-72 60-73 61-77 62-74 63-75 63-76 64-78 65-79 
19	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-9 8-7 9-8 10-10 11-11 11-12 12-13 13-13 14-14 14-15 15-16 15-17 16-21 17-21 18-18 18-19 18-20 19-22 
20	0-1 1-1 2-0 3-0 4-2 5-2 6-3 7-4 7-5 8-6 9-6 10-7 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-13 19-14 20-15 21-15 22-16 23-17 24-18 25-19 26-21 27-20 28-22 29-23 30-23 31-24 32-25 
